# uri, category, realVul, report
/spring-demo/cacheControl/cache001.do,cache-controls-missing,FALSE,
/spring-demo/cacheControl/cache002.do,cache-controls-missing,TRUE,
/spring-demo/cachecontrol/meta/setcache.jsp,cache-controls-missing,FALSE,
/spring-demo/cachecontrol/meta/nocache.jsp,cache-controls-missing,TRUE,
/spring-demo/clickControl/click001.do,clickjacking-control-missing,TRUE,
/spring-demo/clickControl/click002.do,clickjacking-control-missing,FALSE,
/spring-demo/clickControl/click003.do,clickjacking-control-missing,FALSE,
/spring-demo/clickControl/click004.do,clickjacking-control-missing,FALSE,
/spring-demo/clickControl/click005.do,clickjacking-control-missing,TRUE,
/spring-demo/clickcontrol/meta/noclickjacking.jsp,clickjacking-control-missing,TRUE,
/spring-demo/clickcontrol/meta/setclickjacking.jsp,clickjacking-control-missing,FALSE,
/spring-demo/cmdInjection/cmd001.do,cmd-injection,TRUE,
/spring-demo/cmdInjection/cmd002.do,cmd-injection,TRUE,
/spring-demo/cmdInjection/cmd003.do,cmd-injection,TRUE,
/spring-demo/cmdInjection/cmd004.do,cmd-injection,TRUE,
/spring-demo/cmdInjection/cmd005.do,cmd-injection,TRUE,
/spring-demo/cmdInjection/cmd006.do,cmd-injection,TRUE,
/spring-demo/cmdInjection/cmd007.do,cmd-injection,TRUE,
/spring-demo/cmdInjection/cmd008.do,cmd-injection,TRUE,
/spring-demo/contentpolicy/meta/csp.jsp,content-security-policy-missing,FALSE,
/spring-demo/contentpolicy/meta/cspMissing.jsp,content-security-policy-missing,TRUE,
/spring-demo/contentPolicy/missCsp003.do,content-security-policy-missing,TRUE,
/spring-demo/contentPolicy/csp004.do,content-security-policy-missing,FALSE,
/spring-demo/cspInsecure/unsafeCsp002.do,content-security-policy-insecure,TRUE,
/spring-demo/cspInsecure/safeCsp003.do,content-security-policy-insecure,FALSE,
/spring-demo/contenttype/meta/contenttype.jsp,content-type-missing,FALSE,
/spring-demo/contenttype/meta/missingContentType.jsp,content-type-missing,TRUE,
/spring-demo/contentType/contentTypeResponse.do,content-type-missing,FALSE,
/spring-demo/contentType/contentTypeResponseMissing.do,content-type-missing,TRUE,
/spring-demo/cookiehttp/httpOnly_false.do,cookie-missing-httponly,TRUE,
/spring-demo/cookieInjection/cookie001.do,cookie-injection,TRUE,
/spring-demo/cipher/cipher001.do,crypto-bad-ciphers,TRUE,
/spring-demo/cipher/cipher002.do,crypto-bad-ciphers,TRUE,
/spring-demo/cipher/cipher003.do,crypto-bad-ciphers,TRUE,
/spring-demo/mac/mac001.do,crypto-bad-mac,TRUE,
/spring-demo/mac/mac002.do,crypto-bad-mac,TRUE,
/spring-demo/mac/mac003.do,crypto-bad-mac,TRUE,
/spring-demo/csrf/csrf001.do,csrf,TRUE,
/spring-demo/csrf/csrf002.do,csrf,TRUE,
/spring-demo/csrf/csrf003.do,csrf,TRUE,
/spring-demo/csrf/csrf004.do,csrf,TRUE,
/spring-demo/csrf/csrf005.do,csrf,TRUE,
/spring-demo/elinjection/jstl_el_post.do,expression-language-injection,TRUE,
/spring-demo/elinjection/jstl_el.jsp,expression-language-injection,TRUE,
/spring-demo/hardkey/hardkey.do,hardcode-key,TRUE,
/spring-demo/hardkey/secretkey.do,hardcode-key,TRUE,
/spring-demo/hardkey/no_encryption.do,hardcode-key,FALSE,
/spring-demo/hardpwd/hardpassword.do,hardcode-password,TRUE,
/spring-demo/hardpwd/encodepassword.do,hardcode-password,FALSE,
/spring-demo/hardpwd/shortpassword.do,hardcode-password,FALSE,
/spring-demo/ldapinjection/ldap1.do,ldap-injection,TRUE,
/spring-demo/ldapinjection/ldap2.do,ldap-injection,TRUE,
/spring-demo/ldapinjection/ldap3.do,ldap-injection,TRUE,
/spring-demo/logInjection/log001.do,log-injection,TRUE,
/spring-demo/logInjection/log002.do,log-injection,TRUE,
/spring-demo/logInjection/log003.do,log-injection,TRUE,
/spring-demo/logInjection/log004.do,log-injection,TRUE,
/spring-demo/nosqlInjection/nosql001.do,nosql-injection,TRUE,
/spring-demo/pathtraversal/path001.do,path-traversal,TRUE,
/spring-demo/pathtraversal/path002.do,path-traversal,TRUE,
/spring-demo/pathtraversal/path003.do,path-traversal,TRUE,
/spring-demo/pathtraversal/path004.do,path-traversal,TRUE,
/spring-demo/pathtraversal/path005.do,path-traversal,TRUE,
/spring-demo/pathtraversal/path006.do,path-traversal,TRUE,
/spring-demo/redirect/redirect001.do,unvalidated-redirect,TRUE,
/spring-demo/redirect/redirect002.do,unvalidated-redirect,TRUE,
/spring-demo/redirect/redirect003.do,unvalidated-redirect,TRUE,
/spring-demo/redirect/redirect004.do,unvalidated-redirect,TRUE,
/spring-demo/forward/forward001.do,unvalidated-forward,TRUE,
/spring-demo/redirect/forward.jsp,unvalidated-forward,TRUE,
/spring-demo/redos/redos001.do,regular-expression-denial-of-service,TRUE,
/spring-demo/referpolicy/referpolicy.jsp,referrer-policy-missing,FALSE,
/spring-demo/referrerPolicy/refer002.do,referrer-policy-missing,TRUE,
/spring-demo/reflectedXss/xss001.do,reflected-xss,TRUE,
/spring-demo/reflectedXss/xss002.do,reflected-xss,TRUE,
/spring-demo/reflectedXss/xss003.do,reflected-xss,TRUE,
/spring-demo/reflectedXss/xss004.do,reflected-xss,TRUE,
